Potential Misspelling,Original Text
mucic,IT MADE ME THINK ABOUT MY HUSBAND AND I MISS HIMI WANTED TO DANCE AND LAUGH WITH HIM JUST LISENING TO THIS MUCIC SOUND
hsair,"LOVE IN THE HSAIR,ITS EMOTIONAL,MAKES YOU WANT TO KISS SOOMEOE,HOLD THE PERSON AND JUS CUDDLE,ITS SOOTHING THE MUSIC"
soomeoe,"LOVE IN THE HSAIR,ITS EMOTIONAL,MAKES YOU WANT TO KISS SOOMEOE,HOLD THE PERSON AND JUS CUDDLE,ITS SOOTHING THE MUSIC"
jus,"LOVE IN THE HSAIR,ITS EMOTIONAL,MAKES YOU WANT TO KISS SOOMEOE,HOLD THE PERSON AND JUS CUDDLE,ITS SOOTHING THE MUSIC"
jumpimg,"MAKES YOU WANT TO DANCE CARE FREELY LIKE JUMPIMG MOVING YOUR BADY ALL OVER THE PLACE JUS WITHOUT PATTERN JUS TO MAKE YOU FEEL ALIVE,THIS MUSIC SOUND CSHAKES YOU UP"
bady,"MAKES YOU WANT TO DANCE CARE FREELY LIKE JUMPIMG MOVING YOUR BADY ALL OVER THE PLACE JUS WITHOUT PATTERN JUS TO MAKE YOU FEEL ALIVE,THIS MUSIC SOUND CSHAKES YOU UP"
jus,"MAKES YOU WANT TO DANCE CARE FREELY LIKE JUMPIMG MOVING YOUR BADY ALL OVER THE PLACE JUS WITHOUT PATTERN JUS TO MAKE YOU FEEL ALIVE,THIS MUSIC SOUND CSHAKES YOU UP"
jus,"MAKES YOU WANT TO DANCE CARE FREELY LIKE JUMPIMG MOVING YOUR BADY ALL OVER THE PLACE JUS WITHOUT PATTERN JUS TO MAKE YOU FEEL ALIVE,THIS MUSIC SOUND CSHAKES YOU UP"
cshakes,"MAKES YOU WANT TO DANCE CARE FREELY LIKE JUMPIMG MOVING YOUR BADY ALL OVER THE PLACE JUS WITHOUT PATTERN JUS TO MAKE YOU FEEL ALIVE,THIS MUSIC SOUND CSHAKES YOU UP"
jus,"JUS MAKES YOU WANT TO BE ALONE,SIT AND LIFT YOUR FEET TO A SMALLER TABLE AND RELAX IT,BE SIPPING SOME WINE,BEING AT THE BEACH AND JUST ENJOYING THE BREEZE WITH THE AIR MOVING ALL OVER YOUR SKIN"
jus,"JUS SETTING THE MOOD TO HAVE A COMPETITION PLAY OR SOMETHING WITH A FRIEND OR COLLEAGUE,ITS LIKE A BATTLE S=MUSIC"
smusic,"JUS SETTING THE MOOD TO HAVE A COMPETITION PLAY OR SOMETHING WITH A FRIEND OR COLLEAGUE,ITS LIKE A BATTLE S=MUSIC"
jus,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
mucis,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
uu,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
donrt,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
hv,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
isen,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
jus,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
jlisen,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
atention,JUS SITTING AT THE BAR WITH FRIENDS AND EATING THEN LETTING THIS MUCIS PASS THROUGH THE EARS THEN UU STILL WITH YOUR FRIENDS LIKE YOU DONRT HV TO GET THE TIME TO ISEN JUS J.LISEN WITHOUT ATENTION
paceful,PACEFUL AND SERENE
rockstar,"I imagined myself being a rockstar, partying and playing the lead guitar. I felt energetic and on top of the world."
clubconcert,"I felt like I was in a jazz club/concert, there to enjoy the musical artistry of older and more experienced artistes while I relax and reminisce on life."
multiplayer,"I imagined myself playing a combat multiplayer game, getting ready for battle and feeling fully confident."
exboyfriend,"That reminded me of my ex-boyfriend, who loved such types of songs. Whenever I visited him at his place, those are the kinds of songs we used to listen to."
exboyfriend,This one reminds me of my ex-boyfriend who loved these types of songs and also I like watching movies and I've heard it several times
ve,This one reminds me of my ex-boyfriend who loved these types of songs and also I like watching movies and I've heard it several times
churchconcert,This one reminds me of every weekend. I thought I was in a church/concert during praise and worship time. I always long for Sundays so I can hear such cool sounds.
pranked,"This one reminds me of one of my friends' proposal days. The husband pranked her, and later, the whole place was just such sounds, and then the proposal came."
concertsfunctions,"Very fresh in my mind. I have attended several concerts/functions, which have a lot of great memories"
christams,I imagined a celebration kind of like the ones during christams season 
rythmical,"Thought of myself in a cool place drinking wine, the song is so rythmical and i could connect to it"
festives,"It evokes thoughts of childhood memory, scenes of christmas festives"
villians,I imagined an action movie where someone is being pursued by villians.
sscene,watching a romantic sscene on a movie
dj, thought of a dj playing the beats on an open bar while people are dancing
romanticaly,people dancing romanticaly in a bar
gta,playing a GTA and minecraft game
minecraft,playing a GTA and minecraft game
o2,"When I heard the music in the context of a concert I instantly thought of lots of people sat at the O2 arena in manchester, which is my only time at a concert. I also thought the music sounded a bit like mystery music, like it was almost like a comedy or magic show rather than a concert."
nt,"My instant thought when hearing the music was that I pictured a guy playing a piano, for some reason a man, probably wearing a suit in a stylistic fashion, I don't know why. But, as I thought harder and harder about the scene, I also thought of romance scenes in movies and how a romance scene might be played whilst this music was playing. It made me feel warm and happy."
80,"I thought of an 80's bar with lots of old music and decor, with 80's style of dressing fashion. Overall I imagined the bar to be quite pinky in colour."
80,"I thought of an 80's bar with lots of old music and decor, with 80's style of dressing fashion. Overall I imagined the bar to be quite pinky in colour."
colour,"I thought of an 80's bar with lots of old music and decor, with 80's style of dressing fashion. Overall I imagined the bar to be quite pinky in colour."
2,"It reminds me of Doom and Doom 2, or the old style duke nukem FPS games where the games/levels include rock metal music, or some kind of game where this is a lot of action and it is fast paced."
nukem,"It reminds me of Doom and Doom 2, or the old style duke nukem FPS games where the games/levels include rock metal music, or some kind of game where this is a lot of action and it is fast paced."
fps,"It reminds me of Doom and Doom 2, or the old style duke nukem FPS games where the games/levels include rock metal music, or some kind of game where this is a lot of action and it is fast paced."
gameslevels,"It reminds me of Doom and Doom 2, or the old style duke nukem FPS games where the games/levels include rock metal music, or some kind of game where this is a lot of action and it is fast paced."
tv,"This made me think a lot of power rangers and other TV shows, albeit not movies, they still made me think of that. I always imagine it is part of some childrens show or teens show style. Either that, or some japanese anime? But I never watch that, so the latter thought is entirely forced and not spontaneous."
childrens,"This made me think a lot of power rangers and other TV shows, albeit not movies, they still made me think of that. I always imagine it is part of some childrens show or teens show style. Either that, or some japanese anime? But I never watch that, so the latter thought is entirely forced and not spontaneous."
nt,"I don't know why but this just simply reminded me of a movie character walking down the street in a movie that was jolly and happy because of something that has just happened. One thing that led to was me thinking about spiderman and how there is a scene where peter parker is walking down the road to the song ""raindrops keep falling on my head"" and he is happy. I imagine that but with this song playing instead, like a happy song for a happy movie scene."
spiderman,"I don't know why but this just simply reminded me of a movie character walking down the street in a movie that was jolly and happy because of something that has just happened. One thing that led to was me thinking about spiderman and how there is a scene where peter parker is walking down the road to the song ""raindrops keep falling on my head"" and he is happy. I imagine that but with this song playing instead, like a happy song for a happy movie scene."
tattooes,"I found it quite hard to imagine this being played in a bar, it felt more suited towards a pub or some kind of music specialist place. However, I could picture lots of people at the bar dressed in black leather studded clothing and rocking their heads back and forth with tattooes"
nt,"I can sort of imagine a romantic scene in a movie or some kind of slow paced scene in a bar. I know the actual context was a video game but it didn't actually make me think of a video game necessarily, it made me think of a cutscene within a video game which is kind of like a movie based cinematic in a sense. It didn't make me feel too much, I was on the fence twhether to selecft yes or no."
cutscene,"I can sort of imagine a romantic scene in a movie or some kind of slow paced scene in a bar. I know the actual context was a video game but it didn't actually make me think of a video game necessarily, it made me think of a cutscene within a video game which is kind of like a movie based cinematic in a sense. It didn't make me feel too much, I was on the fence twhether to selecft yes or no."
nt,"I can sort of imagine a romantic scene in a movie or some kind of slow paced scene in a bar. I know the actual context was a video game but it didn't actually make me think of a video game necessarily, it made me think of a cutscene within a video game which is kind of like a movie based cinematic in a sense. It didn't make me feel too much, I was on the fence twhether to selecft yes or no."
twhether,"I can sort of imagine a romantic scene in a movie or some kind of slow paced scene in a bar. I know the actual context was a video game but it didn't actually make me think of a video game necessarily, it made me think of a cutscene within a video game which is kind of like a movie based cinematic in a sense. It didn't make me feel too much, I was on the fence twhether to selecft yes or no."
selecft,"I can sort of imagine a romantic scene in a movie or some kind of slow paced scene in a bar. I know the actual context was a video game but it didn't actually make me think of a video game necessarily, it made me think of a cutscene within a video game which is kind of like a movie based cinematic in a sense. It didn't make me feel too much, I was on the fence twhether to selecft yes or no."
8bit,I loved this music also and thought it was great. It reminded me since it is used in a video game context that it is some kind of old style 8-bit game or nintendo 64 game. Sort of games like really old space invaders even and just other 8-bit style games that are pixelated. Nostalgic.
64,I loved this music also and thought it was great. It reminded me since it is used in a video game context that it is some kind of old style 8-bit game or nintendo 64 game. Sort of games like really old space invaders even and just other 8-bit style games that are pixelated. Nostalgic.
8bit,I loved this music also and thought it was great. It reminded me since it is used in a video game context that it is some kind of old style 8-bit game or nintendo 64 game. Sort of games like really old space invaders even and just other 8-bit style games that are pixelated. Nostalgic.
pixelated,I loved this music also and thought it was great. It reminded me since it is used in a video game context that it is some kind of old style 8-bit game or nintendo 64 game. Sort of games like really old space invaders even and just other 8-bit style games that are pixelated. Nostalgic.
playin,imagine a man playin a piano in a dark room and there red curtains
gta,i could see the GTA city
overcomed,i imagined myself seated in my house balcony while my mind is being overcomed by thoughts
tv,i imagined this music being played in tv stations before news highlights are presented
centre,i imagined this music being played in a mall or shopping centre. it sounded cool to give the customers time to pay attention to what they want to buy
begining,"The thoughts that came to mind are when begining to play a video game and are choosing characters, avatars or tools to use in the video game."
sitted,A calm and cozy bar with people sitted drinking and chatting no dancing 
protaginist,"An action scene is about to start, maybe some sort of 'chase' scene where the protaginist is getting chased by somebody.At the start of the clip, the protaginist is realising they are being followed, as the clip continues, the protaginist starts running, weaving through pedestrians, obstacles, and traffic as the music becomes more intense"
somebodyat,"An action scene is about to start, maybe some sort of 'chase' scene where the protaginist is getting chased by somebody.At the start of the clip, the protaginist is realising they are being followed, as the clip continues, the protaginist starts running, weaving through pedestrians, obstacles, and traffic as the music becomes more intense"
protaginist,"An action scene is about to start, maybe some sort of 'chase' scene where the protaginist is getting chased by somebody.At the start of the clip, the protaginist is realising they are being followed, as the clip continues, the protaginist starts running, weaving through pedestrians, obstacles, and traffic as the music becomes more intense"
realising,"An action scene is about to start, maybe some sort of 'chase' scene where the protaginist is getting chased by somebody.At the start of the clip, the protaginist is realising they are being followed, as the clip continues, the protaginist starts running, weaving through pedestrians, obstacles, and traffic as the music becomes more intense"
protaginist,"An action scene is about to start, maybe some sort of 'chase' scene where the protaginist is getting chased by somebody.At the start of the clip, the protaginist is realising they are being followed, as the clip continues, the protaginist starts running, weaving through pedestrians, obstacles, and traffic as the music becomes more intense"
romcom,"A scene in a rom-com where the two leads are starting to connect, potentially doing something fun or engaging for the first time"
centre,"Jazz night at a local bar, there is a live band performing this. Around the edges of the bar there are people just sitting and enjoying the music. At the centre of the bar, tables and chairs have been moved to create a dancefloor. Many people are dancing together and having a good time on the dancefloor"
dancefloor,"Jazz night at a local bar, there is a live band performing this. Around the edges of the bar there are people just sitting and enjoying the music. At the centre of the bar, tables and chairs have been moved to create a dancefloor. Many people are dancing together and having a good time on the dancefloor"
dancefloor,"Jazz night at a local bar, there is a live band performing this. Around the edges of the bar there are people just sitting and enjoying the music. At the centre of the bar, tables and chairs have been moved to create a dancefloor. Many people are dancing together and having a good time on the dancefloor"
intro,"An intro song at a concert, the crowd is begining to buzz with excitement as the band are all making their way to the stage. Loud cheers are errupting each time one of the band members enters. The feeling of tension within the crowd, as they anticipate the entrance of the band, is lifting"
begining,"An intro song at a concert, the crowd is begining to buzz with excitement as the band are all making their way to the stage. Loud cheers are errupting each time one of the band members enters. The feeling of tension within the crowd, as they anticipate the entrance of the band, is lifting"
errupting,"An intro song at a concert, the crowd is begining to buzz with excitement as the band are all making their way to the stage. Loud cheers are errupting each time one of the band members enters. The feeling of tension within the crowd, as they anticipate the entrance of the band, is lifting"
strobing,"Stage lights are flashing and strobing, the crowd are getting really into the music, a small part of the crowd near the front are moshing, whilst other dotted throughout the crowd are headbanging"
8bit,"An 8-bit style platform game. The player has reached the end of the level and is now in a boss fight. The player knows the mechanics of the boss fight, so is expertly moving around the arena, dodging the attacks of the boss and damaging the boss whenever possible"
restaurantthere,"A scene where the main characters are at a very fancy restaurant.There is a live band playing this music, all wearing tuxedo's. They are seen just behind the main characters, who are sitting centre frame at a table for 2. They have really nice looking meals infront of them, and a bottle of wine on ice in the miu"
centre,"A scene where the main characters are at a very fancy restaurant.There is a live band playing this music, all wearing tuxedo's. They are seen just behind the main characters, who are sitting centre frame at a table for 2. They have really nice looking meals infront of them, and a bottle of wine on ice in the miu"
2,"A scene where the main characters are at a very fancy restaurant.There is a live band playing this music, all wearing tuxedo's. They are seen just behind the main characters, who are sitting centre frame at a table for 2. They have really nice looking meals infront of them, and a bottle of wine on ice in the miu"
infront,"A scene where the main characters are at a very fancy restaurant.There is a live band playing this music, all wearing tuxedo's. They are seen just behind the main characters, who are sitting centre frame at a table for 2. They have really nice looking meals infront of them, and a bottle of wine on ice in the miu"
miu,"A scene where the main characters are at a very fancy restaurant.There is a live band playing this music, all wearing tuxedo's. They are seen just behind the main characters, who are sitting centre frame at a table for 2. They have really nice looking meals infront of them, and a bottle of wine on ice in the miu"
intro,"another intro style song to play as the band are entering the stage. People are getting excited, there is a bustling among the crowd as the band members are entering the stage"
bowser,"Mario, this sounds like the theme for Bowser's Castle but I could be wrong. It's scary, but also fun and jazzy. I want to say there are some mushrooms running around too. "
beated,"This either made me think I was waiting in an elevator in a very tall building, I guess the beated percussion is good for that. Or in a fun club in the 1920's dancing with all my friends."
1920,"This either made me think I was waiting in an elevator in a very tall building, I guess the beated percussion is good for that. Or in a fun club in the 1920's dancing with all my friends."
90,I hated this. Its cheesy and so awful. It made me think of some 90's sitcom that is outdated and on constant repeat on some TV channel. 
tv,I hated this. Its cheesy and so awful. It made me think of some 90's sitcom that is outdated and on constant repeat on some TV channel. 
technoelectronic,This was fun. I like techno/electronic music so this felt quite similar in style. It made me feel like I was standing over a balcony of a club watching the debauchery occur.
sifi,"When hearing this sound, it reminded me of a si-fi film or series where they were racing or battling the bad guys. "
nt,This reminds me of to things in a video game - a passionate love scene between two criminals that can't be together or when the end credits roll in when you have completed the game
nyc,Reminds me of elevator music or in a classy restaurant in NYC with waiters and waitresses walking around giving drinks out. most likely in the 60/70s
6070s,Reminds me of elevator music or in a classy restaurant in NYC with waiters and waitresses walking around giving drinks out. most likely in the 60/70s
nyc,"Date night in the city such as London Or NYC, having wine and dine time with a loved one while listening to some jazz and enjoying the atmosphere "
newley,Video game loading screen or a scene in a movie where there is a wedding and or they are on their honey moon enjoying being Newley weds 
pacman,playing a video game such as PacMan in an arcade 
counsole,Playing a Mario related game on a counsole 
someonesomething,Could be a fighting scene in a film or an intense escapes scene where someone is trying to escape from someone/something
keanu,"I envisioned Keanu Reeves, I think because similar music features in both The Matrix and John Wick movies, of which he stars in."
80,It reminded me of 80's music videos for some reason.
alternativemetal,Feeling of nostalgia- I was very into alternative/metal music as a teenager.
screensaver,"For some reason I thought of a screensaver I have seen- it is artwork of a tropical beach, with a pink and orange sunset."
recognised,"Feeling of joy as I immediately recognised it as a band I was obsessed with as a teenager, Avenged Sevenfold! "
tetris,"I thought of Tetris initially, and then Pac-Man. It brought up thoughts/experiences of arcade games in bowling alleys."
pacman,"I thought of Tetris initially, and then Pac-Man. It brought up thoughts/experiences of arcade games in bowling alleys."
thoughtsexperiences,"I thought of Tetris initially, and then Pac-Man. It brought up thoughts/experiences of arcade games in bowling alleys."
cafe,It made me feel like I was in paris during the middle of the day eating a sandwich at a cafe and hearing a live band play or central park
doesnt,I never heard this song at a bar to be honest bar doesnt have this kind of music I imagined being lonely at the beach looking at the view of the sea
cafe,felt like again I was at a cafe drinking coffee and smoking a cigarette
dragonball,reminds me of a dragonball z fight
beginnign,sounds like the beginnign of a epic fight
hq,I imagined that a man was just betrayed by his closest friend. They were supposed to finish a job get paid and that'd be the end of that lifestyle but the man comes to their HQ to find that his friend took off  with the money and now he's SOL and burned all his bridges
silohuette,I saw a silohuette of thor as he raised his hammer and lightning struck revealing his visage. A warrior wearing an elk skull rose from the ground with his mighty axe in hand and he began charging
lol,"somebody was in a ""cyberspace"" realm that was glowing blue with lots of digital fractals on the walls. They began moving faster as the music was building up getting ready to breach the firewall. lol."
80s,"I'm in Japan, it's the 80s during the summer. Me and my girlfriend are in a night out in town. She's wearing a nice dress, we both have sun kissed skin and the glow of teenage youth. She smiles at me and I smile back at her, we go from the city to a club and we're dancing as we stare into eachother's eyes with a smile and feeling that this night will never end."
eachother,"I'm in Japan, it's the 80s during the summer. Me and my girlfriend are in a night out in town. She's wearing a nice dress, we both have sun kissed skin and the glow of teenage youth. She smiles at me and I smile back at her, we go from the city to a club and we're dancing as we stare into eachother's eyes with a smile and feeling that this night will never end."
8,a retro 8 bit game where your goal is to destroy a large alien mothership. the bitcrushed explosions being the sound of you damaging the boss.
mothership,a retro 8 bit game where your goal is to destroy a large alien mothership. the bitcrushed explosions being the sound of you damaging the boss.
bitcrushed,a retro 8 bit game where your goal is to destroy a large alien mothership. the bitcrushed explosions being the sound of you damaging the boss.
petrichor,"I'm on the rooftop of a tall building in the city. I'm dealing with the grief of a painful loss. I gaze out into the city, my face stoic but my heart torn and my body numb. The wind rustles through my hair, it begins to rain, the smell of city smog combines with the smell of petrichor and I'"
menucharacter,I'm in a main menu/character customization menu for a mario kart game.
mechanoid,"I sprint on the ground in my advanced exoskeleton armor while I look up at the towering behemoth of a mechanoid titan. Its head is tinted blue because of atmospheric scattering. the ground and objects around me are blurred as I move quickly trying to find an opening for an attack on this monster, the sense of urgency is overwhelming because this is the fight to save the world"
nt,"I don't know why but I'm in an ice cream shop. The shop sells banana ice cream, has a pastel color pallete for its interior. The floors are checkered tiles and for some reason they also sell balogna ice cream and have it as a topping. They also sell pistachio ice cream."
pallete,"I don't know why but I'm in an ice cream shop. The shop sells banana ice cream, has a pastel color pallete for its interior. The floors are checkered tiles and for some reason they also sell balogna ice cream and have it as a topping. They also sell pistachio ice cream."
balogna,"I don't know why but I'm in an ice cream shop. The shop sells banana ice cream, has a pastel color pallete for its interior. The floors are checkered tiles and for some reason they also sell balogna ice cream and have it as a topping. They also sell pistachio ice cream."
nt,"I just saw a girl and it was love at first sight. My heart sunk, I have butterflies in my stomach and time is moving in slow motion. The sun is hitting her face perfectly and it seems like her feet aren't even touching the ground."
noir,"It's noir, roaring 20s. I'm in a bar wearing a zootsuit with a cigar in my mouth. I see a bombshell of a woman and I begin talking to her. She's able to only match my energy but even put me on my toes. The more i talk to her the more i begin falling in love. It's a smoky bar with dim lighting"
20s,"It's noir, roaring 20s. I'm in a bar wearing a zootsuit with a cigar in my mouth. I see a bombshell of a woman and I begin talking to her. She's able to only match my energy but even put me on my toes. The more i talk to her the more i begin falling in love. It's a smoky bar with dim lighting"
zootsuit,"It's noir, roaring 20s. I'm in a bar wearing a zootsuit with a cigar in my mouth. I see a bombshell of a woman and I begin talking to her. She's able to only match my energy but even put me on my toes. The more i talk to her the more i begin falling in love. It's a smoky bar with dim lighting"
resturant,me and my partner were at a lovely steak resturant 
barresturant,A couple at a posh bar/resturant. They're slow dancing. They're very close to each other and are in love.
highspeed,someone involved in a high-speed chase. They're speeding through the streets whilst be chased by a number of different cars.
createcrack,a group of nerdy coders thinking hard and trying to create/crack a code. They're working on their laptops.
seriesshow,end of a comedy series/show and the cast are happy and waving goodbye to the crowd/camera. It is the end of the show.
crowdcamera,end of a comedy series/show and the cast are happy and waving goodbye to the crowd/camera. It is the end of the show.
dectivegood,dective/good guys in deep conversation thinking about a plan then they relise a plan so get to work.
relise,dective/good guys in deep conversation thinking about a plan then they relise a plan so get to work.
theyre,A person in deep thought who is alone for the first time after a long day working out a murder crime. theyre at home with a drink.
outoftown,"out-of-town people walk into a remote, red-neck pub. It filled with men with long beards."
matcha,I imagined myself on my laptop doing work in a busy coffee shop drinking a matcha latte. There are other people enjoying and chatting with music in the background. the coffee shop has a brown and green aesthetic.
bowsers,This piece reminded me of the game mario super bros on the wii and I am playing as mario in bowsers castle and I am being chased by him and his fireballs. 
colours,I imagines a purple and white star rotating in pitch black. The star was very bright and shiny with holographic colours reflecting of it. 
charcater,I imagined a scene from the movie wreck it ralph where a charcater named tapper is serving drinks to his customers. The character is in a game so his movements are gittery and fast like a game character.
gittery,I imagined a scene from the movie wreck it ralph where a charcater named tapper is serving drinks to his customers. The character is in a game so his movements are gittery and fast like a game character.
chararcter,"The only thing that came to my mind was watching a character from the game guitar hero play to this music. The chararcter is wearing a hat, has long black hair and is wearing thick platform boots and ripped jeans. "
escpe,This music reminded me of a couple bands I used to listen to Escpe the fate and Black veiled brides. The things I saw was just images of the lead singer from the black veiled brides andy biersack ( Sorry if I misspelt his name).
biersack,This music reminded me of a couple bands I used to listen to Escpe the fate and Black veiled brides. The things I saw was just images of the lead singer from the black veiled brides andy biersack ( Sorry if I misspelt his name).
tetris,"I imagined shapes like rectangles, squares from the game tetris falling down in total darkness. The shapes colours really stood out in the darkness - the colours were pink, green and blue.  "
colours,"I imagined shapes like rectangles, squares from the game tetris falling down in total darkness. The shapes colours really stood out in the darkness - the colours were pink, green and blue.  "
colours,"I imagined shapes like rectangles, squares from the game tetris falling down in total darkness. The shapes colours really stood out in the darkness - the colours were pink, green and blue.  "
aswell,I imagined someone in black running away from a group of people that are shooting at them. The person in black jumps through a window and they start falling in slow motion with the glass falling slowly aswell. 
jazzybluesy,It kind of reminded me of a movie I had seen that was based in New Orleans. It had some jazzy/bluesy music playing in it. 
actionadventure,It just sounded like a sound from an action/adventure movie and it made me think of Tom Cruise movies.
pac,Pac man. Space Invaders. Arcade game. Tear or rip. Keyboard.
coachella,Coachella night
parlours,i thought about bingo parlours as it felt like an older song that i might've heard on the radio back in the 2000s. sounded like a 20th century song. lots of saxophones and jazz vibes.
ve,i thought about bingo parlours as it felt like an older song that i might've heard on the radio back in the 2000s. sounded like a 20th century song. lots of saxophones and jazz vibes.
2000s,i thought about bingo parlours as it felt like an older song that i might've heard on the radio back in the 2000s. sounded like a 20th century song. lots of saxophones and jazz vibes.
20th,i thought about bingo parlours as it felt like an older song that i might've heard on the radio back in the 2000s. sounded like a 20th century song. lots of saxophones and jazz vibes.
dj,"at first the vibes were a bit sadder and i could picture raindrops falling against a slab,  but then it started getting lighter in tone and i could imagine a DJ playing a piano at a festival"
highpaced,i imagined characters going through a maze in a video game. it felt very techno and high-paced like something was going down in a game or a timer was running out to complete a mission.
buble,it reminded me of christmas and michael buble songs. also someone playing the saxophone while a man is singing passionately and serenading a woman (singing with a voice style similar to Michael Buble). i imagined men in suits performing.
buble,it reminded me of christmas and michael buble songs. also someone playing the saxophone while a man is singing passionately and serenading a woman (singing with a voice style similar to Michael Buble). i imagined men in suits performing.
tv,"i imagined this playing in the background of a tv show or movie about racing, and the racers are walking onto the track to get into their cars and the camera focuses on each important racer one by one."
didnt,i didnt imagine much i just thought about rain and sad thoughts. i also weirdly imagined a frog on the pavement in the rain.
colourful,i could imagine someone playing the piano quickly and i imagined a girl who looked slightly animated strumming an electric guitar while colourful lights shone on her.
barrestaurant,i imagined a bar/restaurant setting while a musician is in the corner playing the piano  in a suit. people are eating dinner and they are tapping their champagne glasses together. i imagined a cold glass of bourbourn and the ice melting in the glass.
bourbourn,i imagined a bar/restaurant setting while a musician is in the corner playing the piano  in a suit. people are eating dinner and they are tapping their champagne glasses together. i imagined a cold glass of bourbourn and the ice melting in the glass.
coud,I coud totally see hearing this in a video game. It felt like I was playing Mario Cart again. 
resturaunt,What bar would I hear this in? What is everyone doing in this bar? I feel like it would be a more resturaunt bar. 
jrpg,I play a lot of video games so when I heard this piece along with the context prompt I naturally started to imagine what type of game it would suit and what part of the game inspired by games I have played in the past. I found myself imagining a boss battle in a JRPG at first since it sounded dramatic with an edge of danger and action but once the more jazzy part kicked in I felt it might better suit a mini game or perhaps a bar in a town area you can explore and talk to NPCs in to get info
npcs,I play a lot of video games so when I heard this piece along with the context prompt I naturally started to imagine what type of game it would suit and what part of the game inspired by games I have played in the past. I found myself imagining a boss battle in a JRPG at first since it sounded dramatic with an edge of danger and action but once the more jazzy part kicked in I felt it might better suit a mini game or perhaps a bar in a town area you can explore and talk to NPCs in to get info
synth,It said concert so I was expecting classical music but it was cool synth type music so I imagined bands I like that it reminded me of such as Blutengle and Depeche Mode. 
blutengle,It said concert so I was expecting classical music but it was cool synth type music so I imagined bands I like that it reminded me of such as Blutengle and Depeche Mode. 
depeche,It said concert so I was expecting classical music but it was cool synth type music so I imagined bands I like that it reminded me of such as Blutengle and Depeche Mode. 
nt,The context prompt said 'typically heard in a bar' but the music sounded like heavy metal so I wasn't sure what to imagine since I've never been to a bar that played music like that so I kind of just let my mind wander and do its thing which brought images of a rock concert by a band like Kiss or Disturbed and that was cool.
ve,The context prompt said 'typically heard in a bar' but the music sounded like heavy metal so I wasn't sure what to imagine since I've never been to a bar that played music like that so I kind of just let my mind wander and do its thing which brought images of a rock concert by a band like Kiss or Disturbed and that was cool.
8bit,The music sounded very retro and video game style with a action genre type sound to it so I imagined lots of different retro titles that I have enjoyed in the past which was fun. I kind of also imagined an amalgamation of retro game titles so it was like a cool mash up. It brought to mind 8bit type games ex
actionfighting,The context was video game but I think even without that I would have pictured games because it sounded very typical of an older action/fighting type game or maybe a sci-fi racing game or something. I really liked the music and imagined what kind of game it would suit as a soundtrack based on games I have played in the past and my modest experience as a hobby game designer.
scifi,The context was video game but I think even without that I would have pictured games because it sounded very typical of an older action/fighting type game or maybe a sci-fi racing game or something. I really liked the music and imagined what kind of game it would suit as a soundtrack based on games I have played in the past and my modest experience as a hobby game designer.
nt,The context prompt said video game but it didn't really remind me of any video games I have played in the past so I tried to imagine what a game with it as a soundtrack might look and play like. In the end I settled on a visual novel style game as it certainly had atmosphere but I couldn't picture game mechanics to go with it and VNs are by nature less kinetic and more narrative so atmosphere is vi
