,clip_name,clip_genre,context_word,clip_context_PAIR,expName,PROLIFIC_PID,File_ID,date,descr_THOUGHT.text,rating_music_prompted.response,rating_spontaneity.response,rating_novelty.response,rating_familiarity.response,rating_enjoyment.response,demographics.headphones,demographics.age,demographics.gender,demographics.livingCountry,demographics.birthCountry,demographics.nativeLanguage,demographics.otherLanguage,demographics.otherLanguageText,demographics.hearingImpariments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback
302,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,63d405a78a62d1fd90f61e71,clip_context_g1_PROLIFIC_PID_444436.csv,2025-07-01_02h28.40.643,A bunch of little aliens performing a tech concert,4.0,2.0,5.0,1,1,True,21,Female,United States,United States,English,True,Cantonese,False,,4,2,no
303,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,63d405a78a62d1fd90f61e71,clip_context_g1_PROLIFIC_PID_444436.csv,2025-07-01_02h28.40.643,A rock/punk concert with flashing lights but a crowd of a moderate scale,4.0,4.0,2.0,1,2,True,21,Female,United States,United States,English,True,Cantonese,False,,4,2,no
304,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a bar, with the spotlight shining on two people, a couple, and they're slowly dancing to the music, arm in arm and hand in hand, using the whole floor.",5.0,5.0,5.0,1,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
305,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined the opening scene of a movie, with slow motion, a family of 6 in a park, running, talking, laughing, having a picnic, lots of cut scenes.",5.0,1.0,1.0,1,3,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
306,Met_LOW_14,Metal,movie,MOVIE-Met_LOW_14,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a intense chase and fight scene, starting off in slow motion with running, a man catching up to another man, ready to throw a punch, and the other man karate kicking him, the slow motion stops and the fight intensifies and speeds up when the music gets faster.",5.0,5.0,5.0,1,4,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
307,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"This piece made me think of a woman in the 1980s, walking down one of the main streets in New York, after an intense fight with her boyfriend, she has big curly hair and an almost cream coat on with her handbag over her shoulder, she's crying and walking slowly. The background is dark, but lit by street lights and building windows, there's a small smoke effect in the air.",5.0,5.0,5.0,1,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
308,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined two cars racing, a red car and a silver car, the background is hard to make out as they're speeding so fast, swerving inbetween other cars, the chase is intense as the silver car tries his hardest to catch up to the man in the red car, he owes him a lot of money.",5.0,5.0,5.0,1,3,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
309,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a bank robbery made by a man and a woman, almost comedic, the man keeps getting stuck in things like his own outfit not behaving like it should, making the woman role her eyes as she's trying her best to take the job seriously.",5.0,5.0,5.0,1,4,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
310,80s_MED_08,80s,video game,VIDEOGAME-80s_MED_08,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a group of friends one by one, about 8 of them all coming from different directions meeting each other, the first being a man just walking on his own down a quiet New York street, and he gets happier the more friends come over, and they all laugh and talk together whilst walking.",5.0,5.0,5.0,1,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
311,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a woman grieving a loved one, everything is slow and somber, with her crying at the funeral and feeling depressed. The music then picks up and the scenes become fast paced as the woman deals with grieving, drinking, crying and the same old routines over and over.",5.0,5.0,5.0,1,3,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
312,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a man slow motion falling from the sky until the screen fades to black when the music stops. When it starts again, we see him under water slowly sinking to the bottom.",5.0,5.0,5.0,1,4,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
313,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a hacker trying his hardest to hack into a company to find out something about one of his friends, it gets more and more intense as his screen shows a lot of windows and numbers, with him trying his best to figure this code out, he finally achieves this.",5.0,5.0,4.0,1,2,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
314,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a group of people in a skate park, all skating, passing each other by, high fiving, some people talking and spectating, others trying to do trick shots with their skate boards, and others flying in the air because of the ramps.",5.0,5.0,5.0,1,3,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
315,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined a man going on a date with her woman to a fancy restauraunt, him pulling her chair out for her to sit down, she feels smitten by him, she's wearing a slim, red dress, with her hair up, and him, a black suit finished off with a tie. They laugh, and eat, hold each others hand, and he decides to propose.",5.0,5.0,3.0,1,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
317,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined an outdoor rave, with people dancing, lights flashing, fireworks being set off in the background, some people sitting and eating food, the atmosphere is lively. It's nighttime.",5.0,5.0,5.0,1,2,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
319,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,604d5e61486bd0622d2102c0,clip_context_g1_PROLIFIC_PID_470932.csv,2025-07-01_10h55.33.866,"I imagined an end of the movie wedding, with everyone from the movie being there, the wedding was a success, the couple are very happy, and the characters are dancing at the alter, everyone's cheerful, the names of the actors come up when a close up of them dancing comes on the screen.",5.0,5.0,5.0,1,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,2,2,"I enjoyed the study, it really peaked my imagination which was a lot of fun."
320,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,I imagined i was in a battlefield and battle was happening all around me when i was listening to this like the Doom games,4.0,4.0,3.0,1,4,True,27,Male,United States,United States,english,False,,False,,5,2,
321,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,I imagined i am sitting in a jazz bar sipping on coffee in a dark atmosphere relaxing,5.0,4.0,4.0,1,3,True,27,Male,United States,United States,english,False,,False,,5,2,
322,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,I imagined a jazz band of 6 were slowly building a tempo and a song one instrument at a time in a dark jazz club,4.0,4.0,3.0,1,3,True,27,Male,United States,United States,english,False,,False,,5,2,
324,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,I imagined im sitting in my car with a black and mild alone when i hear this because its the type of beats i like when driving and its a old habit i pick up in the slums with black friends and i hear similar songs with them,4.0,4.0,2.0,1,5,True,27,Male,United States,United States,english,False,,False,,5,2,
325,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,I imagine im sitting in a dark place with a drink and my phone. It appears to be a bar or club with a relaxed energy,4.0,3.0,3.0,1,5,True,27,Male,United States,United States,english,False,,False,,5,2,
326,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,I imagine i am street racing in my old work town with my back lifted work car with a turbo charger again. This music flying 100 mph around corners with the lights off on a blacked out car is a good frequent memory,4.0,4.0,2.0,1,5,True,27,Male,United States,United States,english,False,,False,,5,2,
329,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,I imagine i am standing in elevator because this is the only place i would hear it in real life,4.0,5.0,2.0,1,2,True,27,Male,United States,United States,english,False,,False,,5,2,
330,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,This music makes me imagine i am about to drive somewhere or need to decompress in my car with just beats. It makes me feel at ease but energetic,4.0,4.0,3.0,1,4,True,27,Male,United States,United States,english,False,,False,,5,2,
331,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,When i heard this song i thought about being at a edm event and the music about to drop to the next phase of the song.,5.0,4.0,4.0,1,3,True,27,Male,United States,United States,english,False,,False,,5,2,
334,80s_MED_08,80s,video game,VIDEOGAME-80s_MED_08,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,This made me imagine im playing mario hunting stars and killing mobs because the game has this same vibe music to it when playing ,4.0,4.0,2.0,1,5,True,27,Male,United States,United States,english,False,,False,,5,2,
335,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,64143c6c286640f3d1348cf8,clip_context_g1_PROLIFIC_PID_526116.csv,2025-07-03_09h43.35.401,This made me imagine a rainforest with tribespeople with a very peaceful feeling to it. I felt happy and relaxed with nature,5.0,5.0,5.0,1,4,True,27,Male,United States,United States,english,False,,False,,5,2,
336,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"slap stick comedy type of montage of clips during a film, perhaps doing some funny events or combining a bunch of scenes into one. loft lobby hotel music so could be very effective in this scene/location as well. also gave me feelings of old french films or perhaps european non english speaking film perhaps still comedy or black and white, vintage old ambience music",5.0,4.0,4.0,5,4,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
337,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"originally it started to remind me of christopher nolan films like inception or vaguely some psychological thrillers like memento perhaps, but then it started to provide a beat/breakbeat so it lead me more down the road of imagining coming of age school films where the main character is making a great development in either the story or their individual role such as finding themselves or walking to an important location (films such as fish tank for example, more indie and british films)",4.0,4.0,1.0,3,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
338,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"it gives me nostalgic 90s vibes, some of it relates to kate bush or bjork's music a little bit, so it gives me etheral and angelic vibes but with a hint of 90s/00s downbeat pop. in terms of the scenes imagined it matched the visual aspects of the artists mentioned so a more mature older vibe quite serious and romantic",4.0,4.0,4.0,2,3,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
339,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"much slower song so very late at night setting in a bar, very black and dark vibes. its a slow blowing tone so it could be an exotic and adult club setting, one of the moody darker rooms in the back perhaps the coridoor of a room full of doors, slight paris texas or david lynch energy but the visions of a bela tarr film especially damnation, dark illusive and depressive vibe to the music",4.0,2.0,1.0,3,4,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
340,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"its not as heavy as ibiza dance music its more like an edm festival so for a bar setting i simply envisioned a very bright bar and perhaps early evening but a late sunrise, so perhaps middle of summer or late summer. the people are old and young as the music is not a certain demographic and has 8 or 24 bit remedies so can be nostaligic for a midaged crowd as well as modern and up to date for younger crowds, for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too",5.0,3.0,4.0,4,2,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
341,80s_MED_08,80s,video game,VIDEOGAME-80s_MED_08,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"an adventure game that plays in the background of the user going around a map or inside and outside of buildings collecting foraging and accumulating items to use in the game, a sort of fantasy world game where items are collected and saved and used later on effectively. its a good head bopping song which has the right frequencies to be enjoyable but not distracting",5.0,5.0,2.0,4,2,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
342,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"hard bop chicago new york jazz scene of the 1950s stuff like miles davis charlie parker of the 30s 40s type of energy, its a real late night blues jazz community, cigars and smoking and real late hours of enjoying real music not as commercialised as today more people living in the moment i can imagine distinctive chatter at the back but not as close to the performers. really small distance between the stage and those attending",5.0,3.0,1.0,4,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
343,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,more of a deep techo track somebody like tiesto playing in 2004 or something to a large room dark crowd and neon light show slowly building up the song to an eventual large grand loud finish,5.0,2.0,2.0,5,4,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
344,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"heavy metal bar surrounded by people who like punk and dress in dark clothes, wear piercings and drink things like rum or craft beers, or stouts stuff like that. plays the music loud and people are loud and chatty but very friendly and good vibe to them, i am associated in this setting quite a lot i would frequent a pub with this setting much more over the traditional others",5.0,1.0,1.0,5,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
345,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,traditional sludge funeral doom type of band - this is very much up my alley of type of music especially recently. i can imagine a small ish venue performing and the band being more popular 20 years ago its a dark dingy room black attire long hair a good mix of female and male,5.0,1.0,1.0,5,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
347,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"it reminded me heavily of an edm concert type of drop so for a video game i was envisioning things like halo or tron legacy but i dont have experience with these games, so something that follows similar ideas that allows multiplayer/shooting games or objective based games like teams claiming territory but more futuristic (100% futuristic) the game provides a lot of energy and bounce so aspects of a future generation like advances in technology really add and compliment that effect of the music",4.0,5.0,4.0,3,2,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
348,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"free jazz improvisation sort of band, jam band, it gave me the thoughts of a local city festival playing middle of the day, middle of the town square, road closed for the festival, and free to all people of the city and playing aimlessly but intelligently in terms of the chords but nothing too experimental or extreme - this is a good thing as it appeals to a more wider crowd old young and all inbetween rather than just one or the other",4.0,5.0,3.0,4,2,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
349,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"r&b playing band soft jazz music in a country club sort of aesthetic, nothing too major people popping in and out, maybe attending for another event this isnt the main event could be a conference or tennis or other sport event or awards ceremony this is the passing background music type of band but still enjoyable and luxurious",5.0,5.0,5.0,4,3,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
350,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"guitar hero absolutely guitar hero type of game, attachment for a physical guitar which the user can use to unlock new songs, genres, bands to play exclusively online or other players in the same household as well or just by themself. unlock achievements and challenge to play the hardest levels which youtube videos frequently post to show how theyre done and gather millions of views",5.0,2.0,2.0,5,5,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
351,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,5cc9df34a0289a001408c402,clip_context_g1_PROLIFIC_PID_593595.csv,2025-07-01_11h38.17.341,"smooth jazz band playing softly, open air space city restaurant large pavement area for passers by quite touristy area i can see it in places like france or italy playing their renditions of american jazz music of the last century, offering traditional and classy dishes served by an excellent chef, very good reviews online and difficult to book a table",4.0,5.0,1.0,4,4,True,25,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
353,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,"it's a calm sound and im a fan of calm sounds, it reminds me of my solo moments",3.0,4.0,3.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
354,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,"reminds of my adventure time, going for a hike",4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
355,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,reminds me of my calm moments,4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
356,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,bring memories of hangouts with friends,4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
357,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,"reminds of friendship, going out with friends over  a couple of drinks",4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
360,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,reminds me of my last concert experience,4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
361,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,reminds me of gatherings,4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
362,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,reminds me of large gatherings and crowd,4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
363,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,reminds me of dates,4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
365,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,67e3f1025293c35616d6e544,clip_context_g1_PROLIFIC_PID_636396.csv,2025-07-01_11h44.04.201,reminds me of kids,4.0,4.0,4.0,4,4,True,21,Female,United States,United States,English,False,,False,,5,2,
368,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,"While I was listening to the clip, I felt some kind of excitement, it was like I was getting ready for a big moment on stage with lights.",5.0,5.0,1.0,1,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
369,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,"I was totally moved by the energy of the music instrumentals. It made me feel like I was in a lively outdoor concert, jumping and moving with the crowd under bright lights.",5.0,4.0,1.0,2,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
370,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,"Honestly, the musical sounds here made me imagine a peaceful journey through a quiet forest. There ",4.0,5.0,5.0,4,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
371,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,The guitar sound made me feel like I was on an adventurous road trip and maybe speeding through the winding roads.,5.0,5.0,5.0,3,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
372,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,The soft piano sounds made me feel calm and imagine sitting by a calm lake at sunset.,5.0,5.0,1.0,2,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
373,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,I felt like playing the piano tiles game and I was fully focused and enjoying the rhythms.,4.0,5.0,1.0,5,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
374,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,I imagined walking slowly through a peaceful garden while listening to the sounds.,4.0,4.0,5.0,1,4,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
375,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,"I imagined being in a dark, crowded club with flashing lights, dancing to the rhythms and beats pulsing through my body.",5.0,5.0,5.0,2,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
376,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,670348a0446814e5ead1e672,clip_context_g1_PROLIFIC_PID_651027.csv,2025-07-01_06h38.47.044,It actually felt like a movie scene where someone is racing against time. Maybe with tension building at every beat.,5.0,1.0,5.0,1,5,True,29,Male,United States,United States,English,False,,False,,5,2,"I must say that I really enjoyed participating in this study, loved the great instrumental sounds as they made me entirely engaged throughout the study. Thanks for the opportunity."
